Subject,Stimulus,code,End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y, Amplitude [F],Position X AOI,Position Y AOI, Velocity  Average [F/s],Velocity  Peak [F/s],Peak Velocity at [%],Eye L/R,Number
1,8p left.jpg,2,1486,269,16,286,493.5,384,383.7,382.4,1.3,378.3,373.2,79.8,227.2,100,Left,1
1,9a right.jpg,2,1490,290,33,323,532.4,373.1,366.8,375.7,3.3,328,386.1,97.3,198,49.7,Left,1
1,9p right.jpg,2,1489,289,16,306,589.2,370.7,706.4,368.1,1.7,532.3,369.9,103.2,242.6,100,Left,1
1,9p right.jpg,2,1489,439,166,606,706.1,332.1,741.9,313.9,40.5,378.3,373.2,243.1,573,40,Left,2
1,9p right.jpg,2,1489,939,16,956,708.5,368.3,707.1,375.2,0.2,328,386.1,11.4,14.6,100,Left,3
1,9p right.jpg,2,1489,1372,116,1489,694.1,390.4,407.8,364.3,10.8,517.5,368,92.8,325.8,14.3,Left,4
3,10a right.jpg,1,1484,301,16,318,501.5,363,447.4,400.3,1,699.3,355.9,60.4,135.9,100,Left,1
3,10a right.jpg,1,1484,435,16,451,395.3,379.6,379.2,387.8,0.6,718.4,346.6,35.3,97.4,100,Left,2
3,10a right.jpg,1,1484,701,16,718,302.6,382,300.9,384.6,0.3,699.3,355.9,15.8,27.1,0,Left,3
3,10p right.jpg,1,1486,336,16,353,521.4,374.8,627.5,359.7,1.3,718.4,346.6,79.2,221.7,100,Left,1
3,10p right.jpg,1,1486,970,16,986,687.6,336,686.7,334.8,0,530.7,376,2.1,3.1,100,Left,2
3,10p right.jpg,1,1486,1420,66,1486,695.7,299.2,693.2,217.7,9.7,659.2,347.6,145.2,277.9,100,Left,3
3,11a left.jpg,1,1492,346,16,363,517.5,382,594.1,379.6,0.8,686.5,329.8,50.4,158.6,100,Left,1
3,11a left.jpg,1,1492,1363,33,1396,640.5,361.2,429.2,373.2,3.7,659.2,347.6,109.7,249.2,100,Left,2
3,11p right.jpg,1,1484,567,33,601,511.1,377.8,679.9,372.1,2.5,686.5,329.8,76.4,191.4,50.2,Left,1
3,11p right.jpg,1,1484,1201,66,1267,713.4,351.2,520.7,310.2,10.4,523.2,393.6,156.1,371.2,75,Left,2
3,11p right.jpg,1,1484,1367,16,1384,515.7,347.6,515.5,352.8,0.1,692,376.6,5.8,11,100,Left,3
3,12a left.jpg,1,1492,13,16,29,484.4,435.2,511.4,364.4,1,693.5,379.6,58.9,156.7,100,Left,1
3,12a left.jpg,1,1492,496,150,646,493.9,333.9,364.8,366.7,8.8,700.1,378.1,58.6,219.8,100,Left,2
3,12a left.jpg,1,1492,1479,16,1496,728.2,354.4,729.5,354.9,0.1,692,376.6,3.1,3.5,0,Left,3
3,12p left.jpg,1,1492,392,49,442,508,458.4,460.4,358.4,5.1,693.5,379.6,101.6,167.2,100,Left,1
3,12p left.jpg,1,1492,558,166,725,398.9,343,390.2,317,52.8,700.1,378.1,316.9,1069.9,60,Left,2
3,13a left.jpg,1,1492,282,16,299,438.7,381.1,379.4,379.9,1.3,376.2,378.6,79.6,162,0,Left,1
3,13a left.jpg,1,1492,482,66,549,357.7,374.5,310.9,732.8,7.3,329.8,393.6,109.1,248.8,50.1,Left,2
3,13a left.jpg,1,1492,1066,33,1099,326.2,369.4,340.9,436.3,4.1,528.2,375.7,121.9,265.5,50,Left,3
3,13a left.jpg,1,1492,1182,116,1299,346.1,373.1,348.8,333.4,43.7,692.6,364.6,374.7,1173.6,42.9,Left,4
3,13p right.jpg,1,1492,284,16,301,521.3,358.8,453.2,400,2.9,692.6,364.6,174.7,479.7,100,Left,1
3,14a left.jpg,1,1492,1477,16,1494,534,380.8,468.7,380.9,0.9,376.2,378.6,54,135.1,100,Left,1
3,14p right.jpg,1,1484,0,116,117,486.6,537.1,532.5,290.6,31.7,329.8,393.6,271.2,732.4,43,Left,1
3,14p right.jpg,1,1484,567,116,684,522,376.1,760.9,337.6,41.5,676.7,357.3,355,869.5,28.6,Left,2
3,14p right.jpg,1,1484,900,16,917,708.9,373.2,689.7,365.7,0.4,712.6,370.3,23.9,42.7,100,Left,3
3,15a right.jpg,1,1492,398,66,465,501.7,377.3,775.1,351.1,11.3,676.7,357.3,169.4,400.9,100,Left,1
3,15a right.jpg,1,1492,548,150,698,730.1,335.4,716.2,326.2,33.1,712.6,370.3,220.7,662,22.3,Left,2
3,15a right.jpg,1,1492,798,33,832,666,355.1,546.6,374.7,2.3,512.3,366.3,68.4,144.5,100,Left,3
3,15p right.jpg,1,1491,308,133,441,517.1,395,587.2,322.6,34.6,431,387.7,260.1,597.4,62.4,Left,1
3,15p right.jpg,1,1491,558,16,575,581.1,368.9,626.2,363.3,0.8,519,372.6,46,94.1,100,Left,2
3,15p right.jpg,1,1491,708,149,858,651.6,366.4,685.8,330.1,29.5,701.8,356.1,196.4,687.7,22.2,Left,3
3,16a right.jpg,1,1490,190,16,207,516.3,385.4,608.9,384.5,1.3,701.8,356.1,79.2,191.6,100,Left,1
3,16a right.jpg,1,1490,357,49,407,663.4,390.8,406.8,380,5.2,372.5,373.2,104.2,216,33.2,Left,2
3,16a right.jpg,1,1490,973,16,990,330.5,391.3,329.9,390.8,0.1,364.7,343.2,3.2,4.6,100,Left,3
3,16p left.jpg,1,1487,470,66,537,488.5,372.5,423.9,383,3,350.9,363.6,44.4,126.9,100,Left,1
3,16p left.jpg,1,1487,1003,16,1020,349.5,407.2,348,410.1,0.1,530.9,377.3,4.4,6.8,100,Left,2
3,17a left.jpg,1,1492,562,33,595,381.1,400.1,492.7,399.8,2.6,372.5,373.2,78.8,158.4,49.8,Left,1
3,17p right.jpg,1,1492,411,33,444,479.8,339.6,424.7,353.8,1.9,364.7,343.2,57,109.2,100,Left,1
3,17p right.jpg,1,1492,1194,16,1211,374.5,401.8,372.4,404,0.1,350.9,363.6,6.7,8.3,100,Left,2
3,18a left.jpg,1,1485,351,16,368,342,403.2,357.1,402.1,0.9,534,374.4,54.5,170.8,0,Left,1
3,18a left.jpg,1,1485,485,33,518,433.3,392.8,552.3,381.3,2.9,688.1,357,87.8,140,0,Left,2
3,18a left.jpg,1,1485,885,16,901,608.3,338.4,609.3,336.6,0.1,688.1,357,5.9,7.8,0,Left,3
3,18p left.jpg,1,1492,344,16,360,492,380.2,422.2,382.1,1.2,358.7,380.8,70.1,144.4,100,Left,1
3,18p left.jpg,1,1492,977,16,994,352.7,386.8,351.8,387.7,0,525.2,367.2,1.7,2.6,100,Left,2
3,19a right.jpg,1,1492,242,16,259,563.4,359.3,643.7,359.3,1.1,358.7,380.8,66.5,166.3,100,Left,1
3,19a right.jpg,1,1492,392,33,425,640.2,349.8,425.4,368.8,3.7,529,374.1,111.6,275.4,49.9,Left,2
3,19p right.jpg,1,1487,287,33,320,551.2,410.7,641.6,404.6,1.7,693.3,371.5,52.5,130,100,Left,1
3,1a left.jpg,1,1489,239,16,255,426.6,384,425.2,385,0.8,723.3,369.4,50.8,100.8,0,Left,1
